Name,Address,Rating,Phone,Website
24 Hour Massage - Herbal Footcare Health & Beauty Centre,6735 3973,4.3,6735 3973,https://www.herbalfootcares.com/
Almond Spa Holland Village,6974 9590,5.0,6974 9590,http://almond-spa.com/
Beauty World Thai Massage,6467 1557,4.7,6467 1557,Info is not retrievable
Chakra Tantra Massage Singapore - Outcall Massage,9059 9987,4.3,,http://www.chakratantramassage.com/
Dreamland Spa,6257 8589,4.2,6257 8589,https://www.dreamlandspa.sg/
Fave Spa,6243 0441,4.7,6243 0441,http://www.favespa.sg/
FootNote Reflexology - Body & Foot Massage,8908 0415,4.8,,http://footnotereflexology.com.sg/
Grandeur Spa,6310 5589,4.6,6310 5589,http://www.grandeurspa.sg/
HAN Dynasty @ Balestier,6254 6466,4.1,6254 6466,Info is not retrievable
Healthland Pte Ltd ( Traditional Thai Massage / Oil Massage / Foot Massage ),6221 3376,4.4,6221 3376,https://www.healthlandspa.com.sg/
Heng Heng Massage,6734 8158,4.7,6734 8158,http://www.henghengmassage.com/
Lyna Viet Massage & Spa,6980 0769,4.9,6980 0769,http://www.facebook.com/vietmassagespa
Massagez Kaki Wellness AMK,6873 0813,5.0,6873 0813,https://massagezkakiwellnessamk.business.site/?utm_source=gmb&utm_medium=referral&kWe=2ahUKEwj64YOcxd7zAhW0uksFHa-LAb04PBCBT3oFCAEQnAI
Mei Yaa Wellness (Roxy Square) Singapore | Foot Reflexology and Body Massage,8875 2221,4.9,,https://www.facebook.com/meiyaaroxy/
NING Foot & Back Massage Spa,6612 1313,4.7,6612 1313,https://ningspa.com/
Sabaai Sabaai Traditional Thai Massage,9337 3715,4.7,,http://www.sabaaisabaai.com/
Sante Wellness Pte Ltd,9798 6726,4.9,,https://www.santewellness.online/
Soul Massage Singapore (Orchard) - Home Massage Service,8695 3378,4.3,,https://soul-massage-singapore.business.site/?utm_source=gmb&utm_medium=referral
Soul Massage,6291 6583,4.7,6291 6583,https://www.soulmassage.sg/
TD Spa ~ Traditional Thai Massage,6445 0466,4.4,6445 0466,https://www.tdspacompany.com/
Wan Lin Healthcare Centre,6338 1355,4.7,6338 1355,https://www.wanlinhealthcare.com/
24 Hour Massage - Herbal Footcare Health & Beauty Centre,6735 3973,4.3,6735 3973,https://www.herbalfootcares.com/
Almond Spa Holland Village,6974 9590,5.0,6974 9590,http://almond-spa.com/
Beauty World Thai Massage,6467 1557,4.7,6467 1557,Info is not retrievable
Chakra Tantra Massage Singapore - Outcall Massage,9059 9987,4.3,,http://www.chakratantramassage.com/
Dreamland Spa,6257 8589,4.2,6257 8589,https://www.dreamlandspa.sg/
Fave Spa,6243 0441,4.7,6243 0441,http://www.favespa.sg/
