Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
24 Hour Massage - Herbal Footcare Health & Beauty Centre,8:30am-3am,8:30am-2am,8:30am-2am,8:30am-2am,8:30am-2am,8:30am-2am,8:30am-3am
Absolute Massage,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm
Almond Spa Holland Village,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm
Ancient Dynasty Massage & Spa (Upper Thomson),11am-3am,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,11am-3am
Aramsa - The Garden Spa,10am-10pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-10pm,10am-10pm
At Ease Foot Reflexology & Body Massage,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm
Beauty World Thai Massage,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm
Blind Massage Services,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm
Chakra Tantra Massage Singapore - Outcall Massage,,,,,,,
Core Concepts Physiotherapy Novena Square,9am-6pm,,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm
DONG BEI - NORTHEAST TRADITIONAL THERAPY CENTRE,,,,,,,
Dreamland Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Fave Spa,,,,,,,
FootNote Reflexology - Body & Foot Massage,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm
g.spa Singapore - 24 Hour One-Stop Spa Destination,,,,,,,
Golden Pail Spa,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am
Grandeur Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Green Apple Spa,12pm-4am,12pm-4am,12pm-4am,12pm-4am,12pm-4am,12pm-4am,12pm-4am
HAN Dynasty @ Alexandra Village,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm
HAN Dynasty @ Balestier,10am-12am,10am-12am,10am-12am,10am-12am,10am-12am,10am-12am,10am-12am
HAN Dynasty @ Thomson,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm
Healing Thai Massage,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm
Healthland Pte Ltd ( Traditional Thai Massage  Oil Massage  Foot Massage ),10:30am-10pm,10:30am-10pm,10:30am-10pm,10:30am-10pm,10:30am-10pm,10:30am-10pm,10:30am-10pm
Heng Heng Massage,10:30am-8:30pm,10:30am-8:30pm,10:30am-8:30pm,10:30am-8:30pm,10:30am-8:30pm,10:30am-8:30pm,10:30am-8:30pm
Hua Mu Lan Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
i Spa Singapore,9am-11pm,9am-11pm,9am-11pm,9am-11pm,9am-11pm,9am-11pm,9am-11pm
Indian Girl Massage,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm
Jia Kang Foot Reflexology,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm
Judilao Pte Ltd,,,,,,,
Knead Press Spa @ Kovan,11am-4:30am,11am-4:30am,11am-4:30am,11am-4:30am,11am-4:30am,11am-4:30am,11am-4:30am
Koyee (Unisex) Hair & Beauty Saloon,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm
Kyoto Spa Foot & Body Massage,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm
Le Mandarin Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Legend Spa and Massage,10am-12am,10am-12am,10am-12am,10am-12am,10am-12am,10am-12am,10am-12am
Live Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Loy Krathong,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm
Lyna Viet Massage & Spa,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm
Mango Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Massage Master Pte Ltd,10am-1am,10am-1am,10am-1am,10am-1am,10am-1am,10am-1am,10am-1am
Massagez Kaki Wellness AMK,11am-10pm,11am-10pm,11am-10pm,11am-10pm,,11am-10pm,11am-10pm
Massagez Kaki Wellness,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm
Master of Massage,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm,7am-10:30pm
Mdm TCM Wellness Center (Hougang Branch),11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm
Mei Yaa Wellness (Roxy Square) Singapore  Foot Reflexology and Body Massage,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm
NING Foot & Back Massage Spa,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm
,,,,,,,
Orchid Spa & Wellness,8am-10:30pm,8am-10:30pm,8am-10:30pm,8am-10:30pm,8am-10:30pm,8am-10:30pm,8am-10:30pm
Oriental Therapy Pte Ltd,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Precious Foot Reflexology - Massage  Tui na  Foot Massage  Gua Sha - Clementi,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm
Precious Foot Reflexology - Massage  Tui na  Foot Massage  Gua Sha - Toa Payoh,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm
Pure Foot Relaxology Pte Ltd,10:30am-10:30pm,10:30am-10:30pm,10:30am-10:30pm,10:30am-10:30pm,10:30am-10:30pm,10:30am-10:30pm,10:30am-10:30pm
Sabaai Sabaai Traditional Thai Massage,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm
Sante Express Foot Spa (Pek Kio),9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm,9:30am-10:30pm
Sante Wellness Pte Ltd,10am-11pm,10am-11pm,10am-11pm,10am-11pm,10am-11pm,10am-11pm,10am-11pm
Sensual Massage,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm,11am-10:30pm
Silk Massage Spa,10am-3am,10am-3am,10am-3am,10am-3am,10am-3am,10am-3am,10am-3am
Soul Massage Singapore (Orchard) - Home Massage Service,10am-11pm,10am-11pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-11pm
Soul Massage,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Spa Royale,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
Starry Traditional Massage,,,,,,,
SUNSHINE BEAUTY SPA,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm,9:30am-9:30pm
Tao Yuan Spa,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm,9am-10:30pm
TD Spa ~ Traditional Thai Massage,10am-1:30am,10am-1am,,10am-12am,10am-12am,10am-1am,10am-1:30am
The Male Therapist - Male Massage Singapore,11am-7pm,11am-6pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm
The Outcall Spa,2pm-1am,2pm-1am,,2pm-1am,2pm-1am,2pm-1am,2pm-1am
Tree House Spa,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm,10am-10:30pm
Urban Spa,10am-9:30pm,10am-9:30pm,10am-9:30pm,10am-9:30pm,10am-9:30pm,10am-9:30pm,10am-9:30pm
Wan Lin Healthcare Centre,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm
